City,SHP_Path,SRTM_Path,Year,BuildingHeightField,Unit
FortCollins,FortCollins_2014/FortCollins_2014.shp,SRTM_V4/FortCollins_2014_strm.tif,2014,HEIGHT,m
Norman,Norman_2018/Norman_2018.shp,SRTM_V4/Norman_2018_strm.tif,2018,BuildingHe,m
Austin,Austin_2013/Austin_2013.shp,SRTM_V4/Austin_2013_strm.tif,2013,max_height,m
Albuquerque,Albuquerque_2012/Albuquerque_2012.shp,SRTM_V4/Albuquerque_2012_strm.tif,2012,HEIGHT,m
NewYork,NewYork_2016/NewYork_2016.shp,SRTM_V4/NewYork_2016_strm.tif,2016,heightroof,feet
SanFrancisco,SanFrancisco_2010/SanFrancisco_2010.shp,SRTM_V4/SanFrancisco_2010_strm.tif,2010,hgt_meancm,cm
Sarasota,Sarasota_2020/Sarasota_2020.shp,SRTM_V4/Sarasota_2020_strm.tif,2020,baseelevat,m
Boston,Boston_2011/Boston_2011.shp,SRTM_V4/Boston_2011_strm.tif,2011,BUILDING_H,m
Roanoke,Roanoke_2020/Roanoke_2020.shp,SRTM_V4/Roanoke_2020_strm.tif,2020,Building_H,m
SantaClara,SantaClara_2015/SantaClara_2015.shp,SRTM_V4/SantaClara_2015_strm.tif,2015,BLDGHEIGHT,m
Reedsburg,Reedsburg_2018/Reedsburg_2018.shp,SRTM_V4/Albuquerque_2012_strm.tif,2018,BLDGHEIGHT,m
Henderson,Henderson_2017/Henderson_2017.shp,SRTM_V4/Henderson_2017_strm.tif,2017,Building_H,m
Lincoln,Lincoln_2018/Lincoln_2018.shp,SRTM_V4/Lincoln_2018_strm.tif,2018,BLDG_AVG_H,m
Arlington,Arlington_2018/Arlington_2018.shp,SRTM_V4/Arlington_2018_strm.tif,2018,BLGHEIGHT,m
Cambridge,Cambridge_2018/Cambridge_2018.shp,SRTM_V4/Cambridge_2018_strm.tif,2018,BASE_ELEV,m
London,London_2020/London_2020.shp,SRTM_V4/London_2020_strm.tif,2020,height,m
Glasgow,Glasgow_2020/Glasgow_2020.shp,SRTM_V4/Glasgow_2020_strm.tif,2020,height,m
DodgeCounty,DodgeCounty_2017/DodgeCounty_2017.shp,No,2017,HeightAbov,m
Kamloops,Kamloops_2019/Kamloops_2019.shp,No,2019,HEIGHT,m
PrinceGeorge,PrinceGeorge_2019/PrinceGeorge_2019.shp,No,2019,BuildingHe,m
Airdrie,Airdrie_2018/Airdrie_2018.shp,No,2018,Height,m
Chattanooga,Chattanooga_2017/Chattanooga_2017.shp,No,2017,BLDGHEIGHT,m
Orangeville,Orangeville_2020/Orangeville_2020.shp,No,2020,BLDGHEIGHT,m
Richardson,Richardson_2020/Richardson_2020.shp,No,2020,BLDGHEIGHT,m
Portland,Portland_2020/Portland_2020.shp,No,2020,AVG_HEIGHT,m
NewportNews,NewportNews_2020/NewportNews_2020.shp,No,2020,BLDGHEIGHT,m
PeoriaCounty,PeoriaCounty_2018/PeoriaCounty_2018.shp,No,2018,BLDGHEIGHT,m
BoulderCO,BoulderCO_2016/BoulderCO_2016.shp,No,2016,BLDGHEIGHT,m
Aurora,Aurora_2014/Aurora_2014.shp,No,2014,Bldg_Heigh,m
EatonCounty,EatonCounty_2020/EatonCounty_2020.shp,No,2020,BLDGHEIGHT,m
Porirua,Porirua_2020/Porirua_2020.shp,No,2020,HEIGHT,m
Centennial,Centennial_2020/Centennial_2020.shp,No,2020,Bldg_Heigh,m
Montpelier,Montpelier_2016/Montpelier_2016.shp,No,2016,BuildingHe,m
JeffersonCountyKY,JeffersonCountyKY_2016/JeffersonCountyKY_2016.shp,No,2016,MEAN_HEIGH,m
Moncton,Moncton_2020/Moncton_2020.shp,No,2020,BLDG_HEIGH,m
Sarpy,Sarpy_2020/Sarpy_2020.shp,No,2020,BLDGHEIGHT,m
Bozeman,Bozeman_2019/Bozeman_2019.shp,No,2019,Height,m
Westchester,Westchester_2018/Westchester_2018.shp,No,2018,ACTUAL_HEI,m
Beijing,Beijing_2020/Beijing_2020.shp,No,2020,Floor,FLOOR
Chicago,Chicago_2015/Chicago_2015.shp,No,2018,stories,FLOOR
LosAngeles,LosAngeles_2017/LosAngeles_2017.shp,No,2017,HEIGHT,feet
Toronto,Toronto_2020/Toronto_2020.shp,No,2020,AVG_HEIGHT,m
DesMoines,DesMoines_2020/DesMoines_2020.shp,No,2020,BuildingHe,feet